Geneid,BC12_fliv_G_1.sort.bam,BC12_fliv_G_2.sort.bam,BC12_fliv_J_1.sort.bam,BC12_fliv_J_2.sort.bam,BC12_fliv_K_1.sort.bam,BC12_fliv_K_2.sort.bam,CTRL_fliv_B_1.sort.bam,CTRL_fliv_B_2.sort.bam,CTRL_fliv_D_1.sort.bam,CTRL_fliv_D_2.sort.bam,CTRL_fliv_E_1.sort.bam,CTRL_fliv_E_2.sort.bam,CTRL_fliv_F_1.sort.bam,CTRL_fliv_F_2.sort.bam
Krt24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm12358,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Krt25,0,0,0,0,0,0,0,0,0,0,19,19,0,0
Krt26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Krt27,0,0,0,0,11,6,0,0,0,0,0,0,34,35
Krt28,0,0,0,0,0,0,16,21,0,0,0,0,0,0
Krt10,0,0,77,74,44,44,0,0,85,84,0,0,0,0
Gm11940,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Krt12,42,34,0,0,15,16,0,0,0,0,0,0,0,0
A830036E02Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Krt20,0,0,0,0,29,28,0,0,0,0,0,0,0,0
Krt23,0,0,9,11,0,0,0,0,103,100,0,0,0,0
Krt39,0,0,0,0,0,0,40,28,0,0,0,0,0,0
Krt40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Krtap3-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Krtap3-2,93,72,0,0,0,0,0,25,0,0,0,0,0,0
Gm11939,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Krtap3-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Krtap1-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Krtap1-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Krtap1-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Krtap9-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm11938,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm11937,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Krtap2-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm11562,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Krtap4-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Krtap4-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Krtap4-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm11555,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm11563,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm14182,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Krtap4-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
