"","BC16_fliv_N_1.sort.bam","BC16_fliv_N_2.sort.bam","BC16_fliv_O_1.sort.bam","BC16_fliv_O_2.sort.bam","BC16_fliv_P_1.sort.bam","BC16_fliv_P_2.sort.bam","BC16_fliv_Q_1.sort.bam","BC16_fliv_Q_2.sort.bam","BC16_fliv_R_1.sort.bam","BC16_fliv_R_2.sort.bam","CTRL_fliv_B_1.sort.bam","CTRL_fliv_B_2.sort.bam","CTRL_fliv_D_1.sort.bam","CTRL_fliv_D_2.sort.bam","CTRL_fliv_E_1.sort.bam","CTRL_fliv_E_2.sort.bam","CTRL_fliv_F_1.sort.bam","CTRL_fliv_F_2.sort.bam"
"Gm26583",7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,8.89194272174304,8.88767222115951,7.89452870776362,7.90468583220256,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782
"Brf1",9.30533095370752,9.30452625883983,9.23376958320345,9.23826454268198,8.931434944723,8.94767399534936,8.74404089801447,8.7530879137596,9.16646859050278,9.16860421410862,8.55847158312962,8.56285616427299,8.62908052940185,8.62166611161796,8.83613849256745,8.82935609484926,8.48661625400386,8.48729169577538
"Wdr60",8.97562170638755,8.96195578384012,8.26227186664222,8.24667219601658,8.1476675629552,8.14067353927,8.2680431783657,8.26967978820612,9.11603226560055,9.11810097074071,7.77220626039782,7.77220626039782,8.17973203954654,8.16539859409409,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782
"Gm48079",8.46422264268464,8.46383332387573,7.91928272036836,7.9037167702405,7.89514056379516,7.89532541694284,7.77220626039782,7.77220626039782,8.44185228618016,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782
"Gm16505",7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.85914708543627,7.8592778557266,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,8.44164017630305,8.44539821483541,7.85871424262458,7.85895190558427,7.77220626039782,7.77220626039782,8.23608127984504,8.2365249692079
"Gm47904",7.77220626039782,7.77220626039782,7.91928272036836,7.91168818926669,7.90259285272143,7.87883866228415,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,8.87120040299235,8.6362287925063,7.87209208817061,7.87236647652574,8.24134346268813,8.22539177914152,7.77220626039782,7.77220626039782
"A530058O07Rik",7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,8.8060021145336,8.81166784610634,7.77220626039782,7.77220626039782,8.20920350983155,8.20903384684971,7.77220626039782,7.77220626039782
"Inhba",8.69910863727154,8.69859476440681,9.01990779221688,9.01869200310478,8.64352893431001,8.63863987118179,8.83405378756308,8.84279010130934,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,8.15477975577374,8.14930430442917,7.77220626039782,7.77220626039782,8.1009187201413,8.10123446977506
"Elmo1",7.77220626039782,7.77220626039782,7.99024281993143,7.99015995663696,8.03983253494935,8.01435577042783,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,8.67211717302875,8.67709832270111,8.00624935527492,8.00689112152849,7.77220626039782,7.77220626039782,8.97009013531342,8.9630468921029
"Aoah",7.77220626039782,7.77220626039782,8.01370017149232,8.02663361260124,8.03271414215683,8.03310503475886,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,9.10326051094079,9.09356848173015,8.01149751262423,8.00689112152849,8.53284336842212,8.53255250287864,7.77220626039782,7.77220626039782
